Gene,Annotation,Median_GSS,PCC
TES,Colon Tissue,0.0,0.31173280022851735
PLXNB2,Colon Tissue,0.0,0.31170337885358756
CRYL1,Colon Tissue,0.0,0.3116882863454845
UQCR11,Colon Tissue,1.763671875,0.31166029748061347
TMC4,Colon Tissue,0.0,0.311484226388191
ATP5MC3,Colon Tissue,1.7607421875,0.3114448514390538
AK2,Colon Tissue,0.0,0.3109682446588896
TMEM30B,Colon Tissue,0.0,0.31086467096690645
SLC25A10,Colon Tissue,0.0,0.310804179859122
ADK,Colon Tissue,0.0,0.31043127068652576
PGM2,Colon Tissue,0.0,0.3104029819388925
ATP5F1B,Colon Tissue,1.791015625,0.3101105314670128
VAPA,Colon Tissue,0.0,0.3098301399364472
CISD3,Colon Tissue,0.0,0.30981944950250107
OGDH,Colon Tissue,0.0,0.30972958947119406
NCOA7,Colon Tissue,0.0,0.3097248152600515
ANXA7,Colon Tissue,0.0,0.30963475102757915
SDC1,Colon Tissue,0.0,0.3092380753615928
SLC16A1,Colon Tissue,0.0,0.3092130614259132
APP,Colon Tissue,0.0,0.3090925312637651
ATOX1,Colon Tissue,0.0,0.308868298485723
SRA1,Colon Tissue,0.0,0.3086564936489278
PAPSS2,Colon Tissue,0.0,0.30859775381500854
NFE2L2,Colon Tissue,0.0,0.3085525382740001
MBD2,Colon Tissue,0.0,0.3083515944181164
NDUFS5,Colon Tissue,1.7265625,0.30832429940788203
SLC35F5,Colon Tissue,0.0,0.3082500962521343
SDCBP,Colon Tissue,0.0,0.3082411313972276
IST1,Colon Tissue,0.0,0.3080996601342001
PANK3,Colon Tissue,0.0,0.307997149755263
EPB41L4B,Colon Tissue,0.0,0.3079036370799376
CHMP3,Colon Tissue,0.0,0.30772883194537876
ARPP19,Colon Tissue,0.0,0.3075159240101659
DAZAP2,Colon Tissue,0.0,0.30738332909699095
SBDS,Colon Tissue,0.0,0.3072491764201169
ARL4A,Colon Tissue,0.0,0.30716557328363936
IL17RC,Colon Tissue,0.0,0.3068671161080706
NDUFA13,Colon Tissue,1.771484375,0.3068016219865305
SMAGP,Colon Tissue,0.0,0.3065053766325636
CEPT1,Colon Tissue,0.0,0.3062951574978355
TMBIM4,Colon Tissue,0.0,0.30588131254368656
LURAP1L,Colon Tissue,0.0,0.30578635613239014
